energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
627.5,1480,899
628.5,1463,882
629.5,1546,876
630.5,1433,870
631.5,1520,924
632.5,1474,873
633.5,1411,821
634.5,1547,911
635.5,1405,841
636.5,1477,854
637.5,1421,844
638.5,1432,858
639.5,1446,903
640.5,1405,858
641.5,1488,875
642.5,1429,868
643.5,1462,851
644.5,1381,792
645.5,1419,863
646.5,1484,914
647.5,1475,899
648.5,1384,843
649.5,1474,871
650.5,1412,845
651.5,1437,903
652.5,1437,878
653.5,1405,816
654.5,1352,796
655.5,1410,842
656.5,1480,881
657.5,1470,846
658.5,1415,804
659.5,1517,876
660.5,1472,869
661.5,1462,893
662.5,1401,802
663.5,1446,858
664.5,1386,796
665.5,1521,899
666.5,1418,821
667.5,1488,904
668.5,1431,844
669.5,1505,851
670.5,1543,941
671.5,1484,842
672.5,1561,902
673.5,1534,942
674.5,1521,905
675.5,1582,927
676.5,1597,955
677.5,1584,934
678.5,1502,882
679.5,1452,831
680.5,1538,897
681.5,1448,821
682.5,1479,853
683.5,1503,844
684.5,1543,876
685.5,1506,864
686.5,1505,899
687.5,1555,902
688.5,1598,914
689.5,1623,957
690.5,1573,910
691.5,1572,884
692.5,1580,899
693.5,1510,906
694.5,1621,920
695.5,1600,950
696.5,1604,918
697.5,1610,934
698.5,1549,901
699.5,1570,901
700.5,1678,984
701.5,1659,948
702.5,1748,1030
703.5,1705,984
704.5,1613,909
705.5,1598,931
706.5,1596,910
707.5,1676,996
708.5,1611,943
709.5,1554,968
710.5,1522,911
711.5,1553,942
712.5,1521,886
713.5,1506,877
714.5,1347,800
715.5,1372,806
716.5,1409,912
717.5,1349,828
718.5,1329,817
719.5,1387,890
720.5,1384,881
721.5,1466,911
722.5,1397,886
723.5,1688,1068
724.5,2327,1571
725.5,3874,2813
726.5,5885,4504
727.5,6559,5103
728.5,5443,4220
729.5,3503,2597
730.5,1965,1344
731.5,1438,901
732.5,1271,771
733.5,1300,784
734.5,1253,762
735.5,1244,751
736.5,1249,766
737.5,1300,825
738.5,1249,763
739.5,1236,749
740.5,1212,755
741.5,1286,784
742.5,1221,756
743.5,1202,714
744.5,1200,718
745.5,1168,722
746.5,1212,749
747.5,1180,738
748.5,1170,730
749.5,1249,762
750.5,1243,741
751.5,1258,777
752.5,1332,840
753.5,1569,1052
