threshold,selected_events,selected_fraction,geometric_mean_pb_improvement,minimum_peak_retention,mean_peak_retention,pooled_net_peak_retention,all_peak_statistics_reliable,sensitivity_geometric_mean_pb_improvement_excluding_209,sensitivity_minimum_peak_retention_excluding_209,sensitivity_mean_peak_retention_excluding_209,sensitivity_statistics_reliable_excluding_209
0.1925,2855902,0.9895326307502966,1.0140782483614923,0.9935499264308157,0.9997552435063168,0.9998301383819461,True,1.0144817050888801,0.9935499264308157,0.9997837305767714,True
0.193,2855761,0.9894837760973934,1.0140450907685532,0.9935499264308157,0.9997080201275675,0.9998064141904185,True,1.0144706821634857,0.9935499264308157,0.9997567097422722,True
0.1935,2855615,0.9894331890099899,1.0139181348154285,0.9935499264308157,0.9995657646490258,0.999783054715926,True,1.014366021677684,0.9935499264308157,0.9996345602308089,True
0.194,2855476,0.9893850273308866,1.0139431700165655,0.9935499264308157,0.999582327035573,0.9997708794789416,True,1.0143594884208382,0.9935499264308157,0.9996243693846864,True
0.1945,2855301,0.9893243921233826,1.0142045979420822,0.994991988396461,0.999717076352258,0.99975564087122,True,1.0146284859138253,0.994991988396461,0.9997561175861436,True
0.195,2855154,0.9892734585490792,1.014325428384672,0.9957137089386635,0.9997581560544075,0.9997374396080306,True,1.0147515925750525,0.9957137089386635,0.9997936006644448,True
0.1955,2854989,0.9892162882105754,1.0142832111715216,0.9957137089386635,0.9996763250188894,0.999724885149938,True,1.0147228969266007,0.9957137089386635,0.9997206333573272,True
0.196,2854839,0.9891643151755718,1.0144696267396238,0.9964159438582206,0.9997362456830088,0.9997292213496444,True,1.0149643450603434,0.9964159438582206,0.9998209061392163,True
0.1965,2854682,0.9891099167322682,1.0147273226281777,0.9971265386288615,0.9997781581692282,0.9997210312809734,True,1.0152766850368018,0.9971265386288615,0.9998929251546824,True
0.197,2854535,0.9890589831579648,1.0150975447064983,0.9977912733156605,0.9999184225758182,0.9997303366153101,True,1.0156667321933501,0.9977912733156605,1.000030876293807,True
0.1975,2854350,0.9889948830814604,1.0151121250812696,0.9977699211529862,0.9998610861948946,0.9997163313675852,True,1.0156825452336509,0.9977699211529862,0.9999668397696134,True
0.198,2854172,0.9889332084132563,1.0151459577807345,0.9970643631903261,0.9997979013514365,0.9997053909637865,True,1.0157137771073617,0.9970643631903261,0.9998941179650781,True
0.1985,2854018,0.9888798494306528,1.0151505858052912,0.9963588052276661,0.999741965656422,0.9996865120854882,True,1.0157338080862892,0.9963588052276661,0.9998499059681278,True
0.199,2853825,0.9888129774589483,1.0153096981985914,0.9970790958721947,0.9998064141659964,0.9996814716015456,True,1.0159107027445786,0.9970790958721947,0.9999215154232106,True
0.1995,2853647,0.9887513027907441,1.0152332422290764,0.9963941935631979,0.9996895795546255,0.9996535833859047,True,1.0158622336788061,0.9963941935631979,0.9998276113197152,True
0.2,2853469,0.9886896281225399,1.0152775937058294,0.9957092912542012,0.9995958594894032,0.9996355217212883,True,1.0159115437483377,0.9957092912542012,0.9997234779139126,True
0.2005,2853278,0.9886234491246355,1.0152833798665428,0.9950037332915411,0.9995041596992256,0.9996199665406399,True,1.0159179768322113,0.9950037332915411,0.9996215892581595,True
